author,cover,description,edition,isbn,oclc,price,publisher,rating,subjects,summary,title
Allen L Wold,"//coverart.oclc.org/ImageWebSvc/oclc/+-+98425756_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA",122 pages : illustrations ; 24 cm.,"
                        ",0531047644 9780531047644,10207934,,"New York : F. Watts, 1984.",,"Science -- Experiments -- Data processing -- Juvenile literature.,Microcomputers -- Juvenile literature.,Science -- Experiments -- Data processing.,View all subjects","
   A guidebook for the student who wants to use a computer in a science project, indicating the ways computer knowledge can be used in the performance of an investigation or project or in the analysis of the results.",Computer science
Allen L Wold,"//coverart.oclc.org/ImageWebSvc/oclc/+-+98425756_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA",122 pages : illustrations ; 24 cm.,"
                        ",0531047644 9780531047644,10207934,,"New York : F. Watts, 1984.",,"Science -- Experiments -- Data processing -- Juvenile literature.,Microcomputers -- Juvenile literature.,Science -- Experiments -- Data processing.,View all subjects","
   A guidebook for the student who wants to use a computer in a science project, indicating the ways computer knowledge can be used in the performance of an investigation or project or in the analysis of the results.",Computer science
Kwok-Yan Lam,"//coverart.oclc.org/ImageWebSvc/oclc/+-+972052214_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA","1 online resource (XII, 478 pages 83 illustrations) : online resource.","
                        ",9783319500119 3319500112 3319500104 9783319500102,967705724,,"Cham : Springer International Publishing : Imprint : Springer, 2016.",,"Computer science.,Computer networks.,Data structures (Computer science),View all subjects","
   This book constitutes the refereed proceedings of the 18th International Conference on Information and Communications Security, ICISC 2016, held in Singapore, Singapore, in November/December 2016. The 20 revised full papers and 16 short papers presented were carefully selected from 60 submissions. The papers cover topics such as IoT security; cloud security; applied cryptography; attack behaviour analytics;","Information and Communications Security : 18th International Conference, ICICS 2016, Singapore, Singapore, November 29 -- December 2, 2016, Proceedings"
,"//coverart.oclc.org/ImageWebSvc/oclc/+-+035430474_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA",pages,"
                        ",9783319276823 3319276824,929589085,,Springer Verlag 2016.,,"Computer science -- Congresses.,Computer logic -- Congresses.,Computer logic.,View all subjects",,"Logical Foundations of Computer Science International Symposium, Lfcs 2016, Deerfield Beach, Fl, USA, January 4-7, 2016. Proceedings."
David Bale,"//coverart.oclc.org/ImageWebSvc/oclc/+-+19897067_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA",259 pages ; 30 cm.,"
                        ",0582057825 9780582057821,21524346,,"Harlow : Longman, 1991.",,"Electronic digital computers -- Study and teaching (Secondary) -- England.,General Certificate of Secondary Education.,Electronic digital computers -- Study and teaching (Secondary),View all subjects",,Computer science
A Campilho,"//coverart.oclc.org/ImageWebSvc/oclc/+-+094796804_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA","1 online resource (xxi, 820 pages) : illustrations.","
                        ",9783319415017 3319415018,953142945,,"Cham : Springer, 2016.",,"Image analysis -- Congresses.,Image processing -- Digital techniques -- Congresses.,Pattern recognition systems -- Congresses.,View all subjects","
   This book constitutes the thoroughly refereed proceedings of the 13th International Conference on Image Analysis and Recognition, ICIAR 2016, held in Póvoa de Varzim, Portugal, in July 2016. The 79 revised full papers and 10 short papers presented were carefully reviewed and selected from 167 submissions. The papers are organized in the following topical sections: Advances in Data Analytics and Pattern Recognition","Image Analysis and Recognition : 13th International Conference, ICIAR 2016, in Memory of Mohamed Kamel, Póvoa de Varzim, Portugal, July 13-15, 2016, Proceedings"
Naoyuki Kubota,"//coverart.oclc.org/ImageWebSvc/oclc/+-+371469514_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA","Online-Ressource (XXIII, 801 p. 555 illus, online resource)","
                        ",9783319435060 331943506X,960419628,,"Cham : Springer, 2016.",,"Computer science.,User interfaces (Computer systems),Artificial intelligence.,View all subjects",,"Intelligent Robotics and Applications : 9th International Conference, ICIRA 2016, Tokyo, Japan, August 22-24, 2016, Proceedings, Part I"
ACM Computer Science Conference.,"//coverart.oclc.org/ImageWebSvc/oclc/+-+434481447_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA",,"
                        ",,299639989,,"New York : Association for Computing Machinery, 199_-",,Acmdig -- Acmpro -- Bibperp -- Informatique -- Ordinateur,,ACM Annual Computer Science Conference : [proceedings].
,"//coverart.oclc.org/ImageWebSvc/oclc/+-+067004568_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA",24 cm.,"
                        ",,310955215,,"Berlin ; Heidelberg ; New York, NY : Springer, 1971.",,"Wirtschaftsmathematik -- Schriftenreihe.,Datenverarbeitung.,Operations Research.",,"Lecture notes in economics and mathematical systems : LNEMS; operations research, computer science, social science."
Kwok-Yan Lam,"//coverart.oclc.org/ImageWebSvc/oclc/+-+972052214_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA","1 online resource (XII, 478 pages 83 illustrations) : online resource.","
                        ",9783319500119 3319500112 3319500104 9783319500102,967705724,,"Cham : Springer International Publishing : Imprint : Springer, 2016.",,"Computer science.,Computer networks.,Data structures (Computer science),View all subjects","
   This book constitutes the refereed proceedings of the 18th International Conference on Information and Communications Security, ICISC 2016, held in Singapore, Singapore, in November/December 2016. The 20 revised full papers and 16 short papers presented were carefully selected from 60 submissions. The papers cover topics such as IoT security; cloud security; applied cryptography; attack behaviour analytics;","Information and Communications Security : 18th International Conference, ICICS 2016, Singapore, Singapore, November 29 -- December 2, 2016, Proceedings"
Jack Belzer,"//coverart.oclc.org/ImageWebSvc/oclc/+-+611963297_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA","VI, 390 S Ill., graph. Darst","
                        ",0824722957 9780824722951,247814661,,"New York, NY [u.a.] Dekker 2000",,,,Encyclopedia of computer science and technology Vol. 42 Supplement 27
Naoyuki Kubota,"//coverart.oclc.org/ImageWebSvc/oclc/+-+371469514_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA","Online-Ressource (XXIII, 801 p. 555 illus, online resource)","
                        ",9783319435060 331943506X,960419628,,"Cham : Springer, 2016.",,"Computer science.,User interfaces (Computer systems),Artificial intelligence.,View all subjects",,"Intelligent Robotics and Applications : 9th International Conference, ICIRA 2016, Tokyo, Japan, August 22-24, 2016, Proceedings, Part I"
A Campilho,"//coverart.oclc.org/ImageWebSvc/oclc/+-+094796804_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA","1 online resource (xxi, 820 pages) : illustrations.","
                        ",9783319415017 3319415018,953142945,,"Cham : Springer, 2016.",,"Image analysis -- Congresses.,Image processing -- Digital techniques -- Congresses.,Pattern recognition systems -- Congresses.,View all subjects","
   This book constitutes the thoroughly refereed proceedings of the 13th International Conference on Image Analysis and Recognition, ICIAR 2016, held in Póvoa de Varzim, Portugal, in July 2016. The 79 revised full papers and 10 short papers presented were carefully reviewed and selected from 167 submissions. The papers are organized in the following topical sections: Advances in Data Analytics and Pattern Recognition","Image Analysis and Recognition : 13th International Conference, ICIAR 2016, in Memory of Mohamed Kamel, Póvoa de Varzim, Portugal, July 13-15, 2016, Proceedings"
David Bale,"//coverart.oclc.org/ImageWebSvc/oclc/+-+19897067_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA",259 pages ; 30 cm.,"
                        ",0582057825 9780582057821,21524346,,"Harlow : Longman, 1991.",,"Electronic digital computers -- Study and teaching (Secondary) -- England.,General Certificate of Secondary Education.,Electronic digital computers -- Study and teaching (Secondary),View all subjects",,Computer science
ACM Computer Science Conference.,"//coverart.oclc.org/ImageWebSvc/oclc/+-+434481447_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA",,"
                        ",,299639989,,"New York : Association for Computing Machinery, 199_-",,Acmdig -- Acmpro -- Bibperp -- Informatique -- Ordinateur,,ACM Annual Computer Science Conference : [proceedings].
,"//coverart.oclc.org/ImageWebSvc/oclc/+-+035430474_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA",pages,"
                        ",9783319276823 3319276824,929589085,,Springer Verlag 2016.,,"Computer science -- Congresses.,Computer logic -- Congresses.,Computer logic.,View all subjects",,"Logical Foundations of Computer Science International Symposium, Lfcs 2016, Deerfield Beach, Fl, USA, January 4-7, 2016. Proceedings."
,"//coverart.oclc.org/ImageWebSvc/oclc/+-+067004568_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA",24 cm.,"
                        ",,310955215,,"Berlin ; Heidelberg ; New York, NY : Springer, 1971.",,"Wirtschaftsmathematik -- Schriftenreihe.,Datenverarbeitung.,Operations Research.",,"Lecture notes in economics and mathematical systems : LNEMS; operations research, computer science, social science."
Jack Belzer,"//coverart.oclc.org/ImageWebSvc/oclc/+-+611963297_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA","VI, 390 S Ill., graph. Darst","
                        ",0824722957 9780824722951,247814661,,"New York, NY [u.a.] Dekker 2000",,,,Encyclopedia of computer science and technology Vol. 42 Supplement 27
